CRN,Course,Section,Title,Hours,Area of LLC,Type,Days,Time,Location,Instructor,Seats Still Available,
"7629","BCHM 414","2","Biochemistry I","3","","Lec","MWF","1000-1050","FERG 201","Cole, K","0","Closed",
"7630","BCHM 414L","1","Biochemistry I Lab","1","","Lab","T","1330-1720","FORBES 1015","Lasseter, B","0","Closed",
"7631","BCHM 414L","2","Biochemistry I Lab","1","","Lab","W","1300-1650","FORBES 1015","Lasseter, B","0","Closed",
"7632","BIOL 108","1","General Biology II","3","  AINW","Lec","TR","1800-1915","FORBES 1022","Delpopolo, A","0","Closed",
"7635","BIOL 109L","1","General Biology Laboratory","1","  AINW","Lab","M","1400-1550","FORBES 1027","Loftis, J","0","Closed",
"7644","BIOL 109L","10","General Biology Laboratory","1","  AINW","Lab","R","2000-2150","FORBES 1027","Lundquist, A","0","Closed",
"7636","BIOL 109L","2","General Biology Laboratory","1","  AINW","Lab","M","1600-1750","FORBES 1027","Loftis, J","0","Closed",
"7637","BIOL 109L","3","General Biology Laboratory","1","  AINW","Lab","M","1800-1950","FORBES 1027","Loftis, J","0","Closed",
"7638","BIOL 109L","4","General Biology Laboratory","1","  AINW","Lab","M","2000-2150","FORBES 1027","Loftis, J","0","Closed",
"7639","BIOL 109L","5","General Biology Laboratory","1","  AINW","Lab","T","1800-1950","FORBES 1027","Deschenes, M","0","Closed",
"7640","BIOL 109L","6","General Biology Laboratory","1","  AINW","Lab","T","2000-2150","FORBES 1027","Deschenes, M","1","Open",
"7641","BIOL 109L","7","General Biology Laboratory","1","  AINW","Lab","W","1800-1950","FORBES 1027","Sweet, K","0","Closed",
"7642","BIOL 109L","8","General Biology Laboratory","1","  AINW","Lab","W","2000-2150","FORBES 1027","Sweet, K","0","Closed",
"7643","BIOL 109L","9","General Biology Laboratory","1","  AINW","Lab","R","1800-1950","FORBES 1027","Lundquist, A","0","Closed",
"7633","BIOL 113","1","Topics in Medicine and Health","3","  AINW","Lec","MW","1600-1715","FORBES 1022","Morton, T","0","Closed",
"7634","BIOL 115","1","Tpcs in Ecology &amp; Environment","3","  AINW","Lec","MWF","1200-1250","FORBES 1022","Atkinson, R","0","Closed",
"7645","BIOL 211","1","Principles of Biology I","3","","Lec","MWF","0800-0850","FORBES 2015","Webb, L","0","Closed",
"7646","BIOL 211","2","Principles of Biology I","3","","Lec","MWF","0900-0950","FORBES 2015","Wiens, K","0","Closed",
"7647","BIOL 211","3","Principles of Biology I","3","","Lec","MWF","1000-1050","FORBES 2015","Wiens, K","0","Closed",
"7648","BIOL 211L","1","Principles of Biology I Lab","1","","Lab","M","1300-1650","FORBES 1009","Guidicelli-Gadea, L","0","Closed",
"7650","BIOL 211L","3","Principles of Biology I Lab","1","","Lab","T","1800-2150","FORBES 1009","Aguilar, L","0","Closed",
"7651","BIOL 211L","4","Principles of Biology I Lab","1","","Lab","R","1330-1720","FORBES 1009","Guidicelli-Gadea, L","0","Closed",
"7652","BIOL 211L","5","Principles of Biology I Lab","1","","Lab","R","1800-2150","FORBES 1009","Nelson, A","0","Closed",
"7653","BIOL 211L","6","Principles of Biology I Lab","1","","Lab","W","1300-1650","FORBES 1009","Mitrano, D","8","Open",
