CRN,Course,Section,Title,Hours,Area of LLC,Type,Days,Time,Location,Instructor,Seats Still Available,
"7748","CHEM 361L","1","Analytical  Chemistry Lab","1","","Lab","R","1330-1720","FORBES 3040","Quinlan, R","0","Closed",
"8233","CHEM 361L","2","Analytical  Chemistry Lab","1","","Lab","R","0830-1220","FORBES 3040","Quinlan, R","15","Open",
"7749","CHEM 435","1","Nanochemistry &amp; Nanotechnology","3","","Lec","MWF","1200-1250","FORBES 2090","Abdel-Fattah, T","18","Open",
"7751","CHEM 492","W1","WI: POGIA-A Chemistry Capstone","3","  WI","Lec","TR","0930-1045","FORBES 3048","Patterson, J","8","Open",
"7532","CHEM 535","1","Nanochemistry &amp; Nanotechnology","3","","Lec","MWF","1200-1250","FORBES 2090","Abdel-Fattah, T","4","Open",
"7235","CHIN 102","1","Beginning Chinese II","3","","Lec","MWF","1000-1050","MCM 300D","Smith, J","3","Open",
"7236","CHIN 102","2","Beginning Chinese II","3","","Lec","MWF","1100-1150","MCM 300D","Smith, J","6","Open",
"7237","CHIN 202","1","Intermediate Chinese II","3","  LLF","Lec","MWF","1300-1350","MCM 316","Gao, L","17","Open",
"8247","CHIN 395","1","Special Topics","3","  LLF","Lec","MWF","1100-1150","MCM 300B","Gao, L","7","Open",
"8266","CLAR 132","1","Applied Music: Clarinet","1","","Lab","","","ARR ","Carlson, P","0","Closed",
"8267","CLAR 432","1","Applied Music: Clarinet","1","","Lab","","","ARR ","Carlson, P","0","Closed",
"8268","CLAR 434","1","Applied Music: Clarinet","2","","Lab","","","ARR ","Carlson, P","0","Closed",
"7238","CLST 101","1","Classicl Roots-American Cultur","3","  AIWT","Lec","MWF","0900-0950","MCM 360","Pollio, D","0","Closed",
"8237","CLST 201","1","The Mythic Imagination","3","  AIWT","Lec","TR","0930-1045","MCM 360","Padilla, M","0","Closed",
"8238","CLST 201","2","The Mythic Imagination","3","  AIWT","Lec","TR","1100-1215","MCM 312","Padilla, M","0","Closed",
"7239","CLST 202","1","Ancient Epic","3","  AIWT","Lec","TR","1630-1745","MCM 312","Nichols, R","2","Open",
"7240","CLST 202","2","Ancient Epic","3","  AIWT","Lec","TR","1800-1915","MCM 312","Nichols, R","22","Open",
"7241","CLST 212","1","Roman Culture","3","  AIWT","Lec","MWF","1500-1550","MCM 360","Buszard, B","0","Closed",
"7242","CLST 312","1","Ancient Roman Art","3","  AICE","Lec","MWF","0900-0950","MCM 314","Motta, R","0","Closed",
"7243","CLST 314","1","Dictators, Demagogues, and Dec","3","  AIWT","Lec","MWF","1200-1250","MCM 357","Buszard, B","11","Open",
"7501","COLL 150","1","The Intentional Learner","2","","Lec","MW","1200-1250","MCM 260","Moody, M","27","Open",
"8191","COLL 150","2","The Intentional Learner","2","","Lec","TR","1100-1150","LUTR 137","Leger, J","23","Open",
"7966","COMM 201","1","Public Speaking","3","","Lec","M","1930-2215","LUTR 269","Daniels, T","0","Closed",
"7967","COMM 201","2","Public Speaking","3","","Lec","MW","1800-1915","LUTR 109","Williams, V","0","Closed",
"7968","COMM 201","3","Public Speaking","3","","Lec","MW","1930-2045","LUTR 109","Williams, V","1","Open",
"7969","COMM 201","4","Public Speaking","3","","Lec","MW","1930-2045","MCM 160","Rosbury, A","0","Closed",
"7970","COMM 201","5","Public Speaking","3","","Lec","MWF","1000-1050","FORBES 2088","Best, M","0","Closed",
"7971","COMM 201","6","Public Speaking","3","","Lec","MW","1600-1715","FORBES 2070C","Staff","0","Closed",
"7972","COMM 201","7","Public Speaking","3","","Lec","MWF","0900-0950","FORBES 2088","Best, M","0","Closed",
"7973","COMM 201","8","Public Speaking","3","","Lec","TR","1800-1915","LUTR 109","LeVan, S","0","Closed",
"7974","COMM 201","9","Public Speaking","3","","Lec","TR","1930-2045","LUTR 109","LeVan, S","0","Closed",
"7976","COMM 211","1","Interpersonal Communication","3","  AIII","Lec","TR","0800-0915","LUTR 121","Goen, T","0","Closed",
"7977","COMM 222","1","Media, Culture, and Technology","3","","Lec","TR","1330-1445","LUTR 121","Stern, D","0","Closed",
"7978","COMM 239","1","Argumentation","3","  AIIF","Lec","MW","1600-1715","LUTR 269","Center, E","1","Open",
"7979","COMM 239","2","Argumentation","3","  AIIF","Lec","MW","1800-1915","MCM 160","Rosbury, A","0","Closed",
"7980","COMM 239","3","Argumentation","3","  AIIF","Lec","MWF","1300-1350","LUTR 347","Best, M","1","Open",
"7981","COMM 239","4","Argumentation","3","  AIIF","Lec","TR","1500-1615","FORBES 2074","Center, E","0","Closed",
"7983","COMM 239","6","Argumentation","3","  AIIF","Lec","TR","1630-1745","FORBES 2074","Center, E","0","Closed",
"7984","COMM 239","7","Argumentation","3","  AIIF","Lec","TR","1800-1915","LUTR 376","Spruill, S","1","Open",
"7985","COMM 239","8","Argumentation","3","  AIIF","Lec","TR","1930-2045","LUTR 376","Spruill, S","0","Closed",
"8182","COMM 249","1","Introduction to Rhetoric","3","  AIWT","Lec","TR","0930-1045","MCM 101","Steiner, M","0","Closed",
"8184","COMM 305","1","First Amndmnt, Culture, &amp; Comm","3","","Lec","MWF","1300-1350","FORBES 2090","Sery, J","0","Closed",
"8185","COMM 305","2","First Amndmnt, Culture, &amp; Comm","3","","Lec","MWF","1500-1550","LUTR 137","Sery, J","0","Closed",
"7986","COMM 311","1","Family Communication","3","  AIII","Lec","MWF","1200-1250","LUTR 347","Vangelis, L","0","Closed",
"8183","COMM 311","2","Family Communication","3","  AIII","Lec","MWF","1100-1150","LUTR 347","Vangelis, L","0","Closed",
"7987","COMM 312","1","Media Aesthetics","3","","Lec","MW","1800-1915","FORBES 3014","Bounds, J","0","Closed",
"7988","COMM 312","2","Media Aesthetics","3","","Lec","MW","1930-2045","FORBES 3014","Bounds, J","0","Closed",
"7989","COMM 318","1","Quant Rrsch Mthds in Comm","3","","Lec","TR","1330-1445","LUTR 109","Goen, T","0","Closed",
"7990","COMM 318","2","Quant Rrsch Mthds in Comm","3","","Lec","TR","0930-1045","LUTR 109","Goen, T","0","Closed",
"7991","COMM 320","1","Media and Society","3","","Lec","MWF","1300-1350","FORBES 3014","Billinson, J","0","Closed",
"7992","COMM 320","2","Media and Society","3","","Lec","MWF","1400-1450","FORBES 3014","Billinson, J","0","Closed",
"7993","COMM 320","3","Media and Society","3","","Lec","MWF","1500-1550","FORBES 3014","Billinson, J","0","Closed",
"7994","COMM 325","1","Persuasion","3","","Lec","TR","1100-1215","MCM 216","Vangelis, L","1","Open",
"7995","COMM 325","2","Persuasion","3","","Lec","TR","1330-1445","MCM 216","Vangelis, L","5","Open",
"7996","COMM 330","1","Gender Communication","3","  AIII","Lec","T","1930-2215","LUTR 242","Wroten, A","0","Closed",
"8008","COMM 333","W1","WI: Rhetorical Criticism","3","  WI","Lec","TR","1100-1215","FORBES 2012","Smith, J","0","Closed",
"8009","COMM 333","W2","WI: Rhetorical Criticism","3","  WI","Lec","TR","1330-1445","FORBES 2088","Smith, J","0","Closed",
"7998","COMM 352","1","Philosophy and Communication","3","","Lec","MWF","0900-0950","MCM 164","Connable, S","0","Closed",
"7999","COMM 352","2","Philosophy and Communication","3","","Lec","MWF","1000-1050","MCM 164","Connable, S","0","Closed",
"8000","COMM 365","1","Science &amp; Biol of Human Comm","3","","Lec","TR","1100-1215","FORBES 2058","Veksler, A","0","Closed",
"8001","COMM 365","2","Science &amp; Biol of Human Comm","3","","Lec","TR","1500-1615","FORBES 2058","Veksler, A","0","Closed",
"8002","COMM 410","1","Communicating Identity","3","","Lec","TR","0930-1045","FORBES 2088","Meyer, M","0","Closed",
"8003","COMM 410","2","Communicating Identity","3","","Lec","TR","1100-1215","FORBES 2088","Meyer, M","0","Closed",
"8004","COMM 415","1","Rhetoric and Religion","3","","Lec","MWF","1200-1250","FORBES 2058","Connable, S","0","Closed",
"8005","COMM 415","2","Rhetoric and Religion","3","","Lec","MWF","1400-1450","FORBES 3012","Connable, S","0","Closed",
"8006","COMM 450","1","Communication Theory","3","","Lec","MWF","0900-0950","FORBES 2058","Sery, J","0","Closed",
"8010","COMM 452","W1","WI: Sr Research in Comm","3","  WI","Lec","MW","1600-1715","LUTR 347","Stern, D","0","Closed",
"8011","COMM 452","W2","WI: Sr Research in Comm","3","  WI","Lec","MWF","1000-1050","LUTR 131","Manning, L","0","Closed",
"8012","COMM 452","W3","WI: Sr Research in Comm","3","  WI","Lec","MWF","1100-1150","FORBES 2088","Billinson, J","0","Closed",
"8013","COMM 452","W4","WI: Sr Research in Comm","3","  WI","Lec","MWF","1100-1150","LUTR 131","Manning, L","0","Closed",
"8014","COMM 452","W5","WI: Sr Research in Comm","3","  WI","Lec","MWF","1200-1250","LUTR 131","Center, E","0","Closed",
"8015","COMM 452","W6","WI: Sr Research in Comm","3","  WI","Lec","TR","1800-1915","LUTR 170","Smith, J","0","Closed",
"8016","COMM 452","W7","WI: Sr Research in Comm","3","  WI","Lec","TR","0930-1045","FORBES 2058","Veksler, A","0","Closed",
"8007","COMM 491","1","Practicum in Communication","1 - 3","","Pra","","","ARR ","Best, M","0","Closed",
"8244","COMM 499","1","IND ST:Relationl Comm Research","1 - 3","","Ind","","","ARR ","Goen, T","0","Closed",
"8256","COMM 499","2","IND ST: Independent Research","1 - 3","","Ind","","","ARR ","Stern, D","0","Closed",
"8319","COMP 131","1","Applied Music: Composition","1","","Lab","","","ARR ","Cook, C","0","Closed",
"8269","COMP 132","1","Applied Music: Composition","1","","Lab","","","ARR ","Cook, C","0","Closed",
"8270","COMP 232","1","Applied Music: Composition","1","","Lab","","","ARR ","Cook, C","0","Closed",
"8271","COMP 332","1","Applied Music: Composition","1","","Lab","","","ARR ","Cook, C","0","Closed",
"8272","COND 532","1","Applied Conducting","1","","Lab","","","ARR ","Fowler, L","0","Closed",
"7875","CPEN 214","1","Digital Logic Design","3","","Lec","TR","1800-1915","LUTR 269","Gerousis, C","4","Open",
"7876","CPEN 315","1","Digital System Design","3","","Lec","TR","0930-1045","FORBES 2070A","Gerousis, C","5","Open",
"7883","CPEN 315L","1","Digital System Design Lab","1","","Lab","W","1930-2215","LUTR 206","Wang, D","6","Open",
"7877","CPEN 371","W1","WI: Computer Ethics","2","  WI","Lec","MW","1200-1250","LUTR 170","Lambert, L","0","Closed",
"7878","CPEN 371","W2","WI: Computer Ethics","2","  WI","Lec","MW","1400-1450","FORBES 2088","Johnson, L","0","Closed",
"7879","CPEN 371","W3","WI: Computer Ethics","2","  WI","Lec","MW","1500-1550","FORBES 2088","Johnson, L","5","Open",
"7880","CPEN 414","1","Computer Architecture","3","","Lec","TR","1330-1445","LUTR 347","Gerousis, C","5","Open",
"7881","CPEN 422","1","Microprocessors","3","","Lec","MW","1600-1715","LUTR 204","Wang, D","12","Open",
"7882","CPEN 498","W1","WI:Comput Engnrng Capstone","1 - 3","  WI","Ind","MWF","1300-1350","LUTR 322","Riedl, A","5","Open",
"7884","CPSC 110","1","Introduction to Computing","3","  AIIF","Lec","MWF","0800-0850","LUTR 258","Staff","0","Closed",
"7885","CPSC 110","2","Introduction to Computing","3","  AIIF","Lec","MWF","1400-1450","LUTR 258","Davis, K","0","Closed",
"7886","CPSC 110","3","Introduction to Computing","3","  AIIF","Lec","MWF","1500-1550","LUTR 258","Hughes, L","0","Closed",
"7887","CPSC 110","4","Introduction to Computing","3","  AIIF","Lec","MW","1800-1915","LUTR 258","Hawkins, K","0","Closed",
"7888","CPSC 110","5","Introduction to Computing","3","  AIIF","Lec","MW","1930-2045","LUTR 258","Hawkins, K","0","Closed",
"7889","CPSC 110","6","Introduction to Computing","3","  AIIF","Lec","MW","2100-2215","LUTR 258","Hawkins, K","0","Closed",
"7890","CPSC 125","1","Foundations of Computer Scienc","3","  AIIF","Lec","TR","0800-0915","LUTR 236","Perkins, K","0","Closed",
"7891","CPSC 125","2","Foundations of Computer Scienc","3","  AIIF","Lec","TR","0930-1045","LUTR 236","Perkins, K","0","Closed",
"7892","CPSC 150","1","Computers and Programming I","3","  AIIF","Lec","MWF","1000-1050","LUTR 236","Siochi, A","3","Open",
"7893","CPSC 150","2","Computers and Programming I","3","  AIIF","Lec","MW","1600-1715","LUTR 236","Cheney, L","0","Closed",
"7894","CPSC 150","3","Computers and Programming I","3","  AIIF","Lec","MWF","1300-1350","LUTR 236","Lambert, L","8","Open",
"7895","CPSC 150L","1","Computers/Programming I Lab","1","  AIIF","Lab","T","1500-1645","LUTR 236","Mohle, Z; Lambert, L","0","Closed",
"7896","CPSC 150L","2","Computers/Programming I Lab","1","  AIIF","Lab","W","1100-1245","LUTR 236","Webb, C; Gianvecchio, S","2","Open",
"7897","CPSC 150L","3","Computers/Programming I Lab","1","  AIIF","Lab","W","1400-1545","LUTR 236","Mohle, Z; Lambert, L","9","Open",
"7898","CPSC 215","1","Software Pkgs-Busn Applcations","3","  AIIF","Lec","MWF","1000-1050","LUTR 258","Baird, A","0","Closed",
"7899","CPSC 215","2","Software Pkgs-Busn Applcations","3","  AIIF","Lec","MWF","1100-1150","LUTR 258","Baird, A","0","Closed",
"7900","CPSC 215","3","Software Pkgs-Busn Applcations","3","  AIIF","Lec","MWF","1300-1350","LUTR 258","Zhang, M","1","Open",
"7901","CPSC 215","4","Software Pkgs-Busn Applcations","3","  AIIF","Lec","MWF","0900-0950","LUTR 258","Baird, A","0","Closed",
"7902","CPSC 215","5","Software Pkgs-Busn Applcations","3","  AIIF","Lec","MW","1600-1715","LUTR 258","Zhang, M","0","Closed",
"8334","CPSC 215","6","Software Pkgs-Busn Applcations","3","  AIIF","Lec","TR","1630-1745","LUTR 258","Staff","0","Closed",
"8346","CPSC 215","7","Software Pkgs-Busn Applcations","3","  AIIF","Lec","MW","1600-1715","LUTR 109","Connolly, P","6","Open",
"7903","CPSC 216","1","Multimedia and Web Publishing","3","  AIIF","Lec","MWF","0800-0850","LUTR 236","Baird, A","0","Closed",
"7904","CPSC 250","1","Computers and Programming II","3","  AIIF","Lec","MW","1800-1915","LUTR 236","Staff","0","Closed",
"7905","CPSC 250","2","Computers and Programming II","3","  AIIF","Lec","TR","1330-1445","LUTR 258","Gianvecchio, S","0","Closed",
"7906","CPSC 250","3","Computers and Programming II","3","  AIIF","Lec","TR","1800-1915","LUTR 236","Johnson, M","0","Closed",
"7907","CPSC 250L","1","Computers/Programming II Lab","1","  AIIF","Lab","M","1100-1245","LUTR 236","Webb, C; Gianvecchio, S","0","Closed",
"7908","CPSC 250L","2","Computers/Programming II Lab","1","  AIIF","Lab","M","1400-1545","LUTR 236","Collins, M","0","Closed",
"7909","CPSC 250L","3","Computers/Programming II Lab","1","  AIIF","Lab","R","1500-1645","LUTR 236","Gianvecchio, S","2","Open",
"7910","CPSC 270","1","Data and File Structures","3","","Lec","MWF","1300-1350","LUTR 269","Flores, R","0","Closed",
"7911","CPSC 270","2","Data and File Structures","3","","Lec","TR","1330-1445","LUTR 236","Siochi, A","0","Closed",
"7912","CPSC 280","1","Intro to Software Engineering","3","","Lec","MWF","0900-0950","LUTR 236","Flores, R","0","Closed",
"7913","CPSC 335","1","Data Communication Systems","3","","Lec","M","1800-2045","LUTR 170","Cheney, L","5","Open",
"7914","CPSC 351","1","Info Sys Design/Implementation","3","","Lec","TR","0930-1045","LUTR 258","Koehl, A","15","Open",
"7916","CPSC 360","1","Programming Language Concepts","3","","Lec","MWF","1000-1050","FORBES 2070C","Flores, R","0","Closed",
"7917","CPSC 420","1","Algorithms","3","","Lec","TR","1330-1445","FERG 210","Koehl, A","0","Closed",
"8218","CPSC 420","2","Algorithms","3","","Lec","TR","1630-1745","LUTR 322","Collins, M","13","Open",
"7918","CPSC 425","1","Object Oriented Program &amp; Dsgn","3","","Lec","TR","1930-2045","LUTR 347","Johnson, M","16","Open",
"7919","CPSC 428","1","Cryptography &amp; Network Securit","3","","Lec","TR","1500-1615","LUTR 170","Collins, M","6","Open",
"7920","CPSC 445","W1","WI: Information Systems Lab","3","  WI","Ind","MWF","1400-1450","LUTR 322","Koehl, A","7","Open",
"7921","CPSC 450","1","Operating Systems II","3","","Lec","MWF","1400-1450","LUTR 347","Zhang, M","15","Open",
"7922","CPSC 475","1","Android Mobile Computing","3","","Lec","TR","1630-1745","LUTR 269","Perkins, K","0","Closed",
"7923","CPSC 498","1","Capstone Project-Comp Science","3","","Lec","TR","1100-1215","LUTR 322","Koehl, A","12","Open",
"7757","CPSC 502","1","Communications I","3","","Lec","TR","1800-1915","LUTR 210","Gianvecchio, S","12","Open",
"7758","CPSC 521","1","Computer Architecture","3","","Lec","TR","1330-1445","LUTR 347","Gerousis, C","6","Open",
"7760","CPSC 525","1","Obj Oriented Program &amp; Design","3","","Lec","TR","1930-2045","LUTR 347","Johnson, M","2","Open",
"7761","CPSC 550","1","Distributed Operating Systems","3","","Lec","MWF","1400-1450","LUTR 347","Zhang, M","8","Open",
"7762","CPSC 642","1","Artificial Intelligence II","3","","Lec","TR","2100-2215","LUTR 264","Hibler, D","8","Open",
"7044","DANC 204","1","Ballet I","3","  AICE","Lec","MW","1600-1715","FERG T177","McCall, C","0","Closed",
"7045","DANC 204","2","Ballet I","3","  AICE","Lec","TR","1500-1615","FERG T177","Lloyd, L","0","Closed",
"7046","DANC 205","1","Classic Jazz Technique","3","  AICE","Lec","MW","1430-1545","FERG T177","McCall, C","0","Closed",
"8198","DANC 205","2","Classic Jazz Technique","3","  AICE","Lec","TR","1100-1215","FERG T177","Lent, J","0","Closed",
"7047","DANC 206","1","Modern Dance I","3","  AICE","Lec","MW","0930-1045","FERG T177","Mazzocca, A","0","Closed",
"7048","DANC 304","1","Ballet II","3","","Lec","TR","1330-1445","FERG T177","Lloyd, L","0","Closed",
"7049","DANC 340","1","Dance Hist &amp; Contemporary Pers","3","","Lec","TR","0930-1045","FERG 220","Mazzocca, A","2","Open",
"7050","DANC 360","1","Afro-Caribbean","3","  AIGM","Lec","MW","1100-1215","FERG T177","Mazzocca, A","0","Closed",
"7051","DANC 430","1","Advanced Dance Styles","3","","Lec","MW","1300-1415","FERG T177","Lloyd, L","0","Closed",
"7201","ECON 200","1","The Economic Way of Thinking","3","","Lec","MWF","1000-1050","LUTR 139","Vachris, M","0","Closed",
"7202","ECON 200","2","The Economic Way of Thinking","3","","Lec","TR","0800-0915","LUTR 139","Lamontagne, L","0","Closed",
"8187","ECON 200","3","The Economic Way of Thinking","3","","Lec","TR","0930-1045","LUTR 139","Lamontagne, L","0","Closed",
"7203","ECON 201","1","Principles of Macroeconomics","3","  AIII","Lec","MWF","1000-1050","LUTR 264","Winder, R","0","Closed",
"7204","ECON 201","2","Principles of Macroeconomics","3","  AIII","Lec","MWF","1100-1150","LUTR 264","Winder, R","0","Closed",
"7205","ECON 201","3","Principles of Macroeconomics","3","  AIII","Lec","MWF","1200-1250","LUTR 242","Celiku, B","0","Closed",
"7206","ECON 201","4","Principles of Macroeconomics","3","  AIII","Lec","MWF","1300-1350","LUTR 121","Celiku, B","0","Closed",
"7207","ECON 201","5","Principles of Macroeconomics","3","  AIII","Lec","M","1800-2045","LUTR 139","Taylor, T","0","Closed",
"7208","ECON 201","6","Principles of Macroeconomics","3","  AIII","Lec","W","1800-2045","LUTR 137","Cann-Tamakloe, R","0","Closed",
"7209","ECON 202","1","Principles of Microeconomics","3","  AIII","Lec","MWF","1100-1150","LUTR 121","Kotula, G","0","Closed",
"7218","ECON 202","10","Principles of Microeconomics","3","  AIII","Lec","W","1800-2045","LUTR 139","Rahoui, M","0","Closed",
"7219","ECON 202","11","Principles of Microeconomics","3","  AIII","Lec","R","1800-2045","LUTR 137","Milewski, M","0","Closed",
"8350","ECON 202","12","Principles of Microeconomics","3","  AIII","Lec","R","1800-2045","LUTR 264","Cann-Tamakloe, R","11","Open",
"7210","ECON 202","2","Principles of Microeconomics","3","  AIII","Lec","MWF","1200-1250","LUTR 139","Kotula, G","0","Closed",
"7211","ECON 202","3","Principles of Microeconomics","3","  AIII","Lec","MWF","1400-1450","LUTR 139","Zestos, G","1","Open",
"7212","ECON 202","4","Principles of Microeconomics","3","  AIII","Lec","MWF","1500-1550","LUTR 139","Zestos, G","0","Closed",
"7213","ECON 202","5","Principles of Microeconomics","3","  AIII","Lec","M","1800-2045","LUTR 137","Milewski, M","0","Closed",
"7215","ECON 202","7","Principles of Microeconomics","3","  AIII","Lec","TR","0930-1045","LUTR 170","Gantt, B","0","Closed",
"7216","ECON 202","8","Principles of Microeconomics","3","  AIII","Lec","TR","1100-1215","LUTR 264","Gantt, B","0","Closed",
"7217","ECON 202","9","Principles of Microeconomics","3","  AIII","Lec","T","1800-2045","LUTR 137","Rahoui, M","0","Closed",
"7220","ECON 301","1","Environmental Economics","3","","Lec","TR","1330-1445","LUTR 139","Lamontagne, L","0","Closed",
"7222","ECON 303","1","Intrm Microeconomic Analysis","3","  AIII","Lec","TR","1100-1215","LUTR 139","Taylor, T","0","Closed",
"7223","ECON 303","2","Intrm Microeconomic Analysis","3","  AIII","Lec","TR","1500-1615","LUTR 264","Taylor, T","0","Closed",
"7224","ECON 304","1","Interm Macroeconomic Analysis","3","","Lec","MWF","0900-0950","LUTR 264","Celiku, B","1","Open",
"8188","ECON 310","1","Economics of the Public Sector","3","","Lec","W","1800-2045","MCM 162","Staff","0","Closed",
"7225","ECON 395","1","SP TPC: Urban Economics","3","","Lec","MW","1600-1715","LUTR 170","Kotula, G","0","Closed",
"7226","ECON 395","2","SP TPC: Transition Economies","3","","Lec","T","1800-2045","FORBES 2070C","Staff","0","Closed",
"7227","ECON 470","1","International Trade/Finance","3","","Lec","MW","1800-1915","LUTR 264","Zestos, G","0","Closed",
"7228","ECON 480","1","Internship in Economics","3","","Int","","","ARR ","Winder, R","0","Closed",
"7229","ECON 490","W1","WI:Senior Seminar in Economics","3","  WI","Lec","MWF","0900-0950","LUTR 131","Vachris, M","3","Open",
"7230","ECON 490","W2","WI:Senior Seminar in Economics","3","  WI","Lec","MWF","1300-1350","FORBES 2070C","Vachris, M","0","Closed",
"7113","ENGL 105","1","Literatures - Western World","3","  AIWT","Lec","MWF","1400-1450","MCM 210","Healy, M","17","Open",
"7114","ENGL 123","1","First-Year Writing Seminar","3","  LLF","Lec","MWF","1400-1450","MCM 200B","Barclay, R","0","Closed",
"7123","ENGL 123","10","First-Year Writing Seminar","3","  LLF","Lec","MWF","1400-1450","MCM 200C","Gordon, L","0","Closed",
"7124","ENGL 123","11","First-Year Writing Seminar","3","  LLF","Lec","MWF","1500-1550","MCM 200C","Gordon, L","0","Closed",
"7125","ENGL 123","12","First-Year Writing Seminar","3","  LLF","Lec","MWF","1000-1050","MCM 200D","Healy, M","0","Closed",
"7126","ENGL 123","13","First-Year Writing Seminar","3","  LLF","Lec","MWF","1100-1150","MCM 200D","Healy, M","0","Closed",
"7127","ENGL 123","14","First-Year Writing Seminar","3","  LLF","Lec","MWF","1300-1350","MCM 200D","Healy, M","0","Closed",
"7128","ENGL 123","15","First-Year Writing Seminar","3","  LLF","Lec","MWF","0900-0950","MCM 200C","Hopkins, P","0","Closed",
"7129","ENGL 123","16","First-Year Writing Seminar","3","  LLF","Lec","MWF","1500-1550","MCM 200D","Hopkins, P","9","Open",
"7130","ENGL 123","17","First-Year Writing Seminar","3","  LLF","Lec","TR","1100-1215","MCM 200B","Lee, T","0","Closed",
"7131","ENGL 123","18","First-Year Writing Seminar","3","  LLF","Lec","TR","1500-1615","MCM 200B","Lee, T","0","Closed",
"7132","ENGL 123","19","First-Year Writing Seminar","3","  LLF","Lec","TR","1800-1915","MCM 200B","McClain, H","0","Closed",
"7115","ENGL 123","2","First-Year Writing Seminar","3","  LLF","Lec","MWF","1500-1550","MCM 200B","Barclay, R","3","Open",
"7133","ENGL 123","20","First-Year Writing Seminar","3","  LLF","Lec","MWF","1000-1050","MCM 300B","Mulligan, R","0","Closed",
"7134","ENGL 123","21","First-Year Writing Seminar","3","  LLF","Lec","MWF","1400-1450","MCM 200D","Mulligan, R","6","Open",
"7135","ENGL 123","22","First-Year Writing Seminar","3","  LLF","Lec","TR","1800-1915","MCM 200C","Sanchez, J","0","Closed",
"7136","ENGL 123","23","First-Year Writing Seminar","3","  LLF","Lec","MWF","1200-1250","MCM 200C","Rose, A","0","Closed",
"7137","ENGL 123","24","First-Year Writing Seminar","3","  LLF","Lec","MWF","1300-1350","MCM 200C","Parker, C","0","Closed",
"7138","ENGL 123","25","First-Year Writing Seminar","3","  LLF","Lec","MW","1600-1715","MCM 200C","Parker, C","0","Closed",
"7139","ENGL 123","26","First-Year Writing Seminar","3","  LLF","Lec","TR","0800-0915","MCM 200B","Cornette Jr, J","2","Open",
"7140","ENGL 123","27","First-Year Writing Seminar","3","  LLF","Lec","TR","0930-1045","MCM 200B","Stewart, N","0","Closed",
"7141","ENGL 123","28","First-Year Writing Seminar","3","  LLF","Lec","TR","1330-1445","MCM 200B","Stewart, N","0","Closed",
"7116","ENGL 123","3","First-Year Writing Seminar","3","  LLF","Lec","MWF","0900-0950","MCM 200B","Bunch, I","0","Closed",
"7117","ENGL 123","4","First-Year Writing Seminar","3","  LLF","Lec","MWF","1000-1050","MCM 200B","Bunch, I","1","Open",
"7118","ENGL 123","5","First-Year Writing Seminar","3","  LLF","Lec","MWF","1000-1050","MCM 200C","Cornette Jr, J","1","Open",
"7119","ENGL 123","6","First-Year Writing Seminar","3","  LLF","Lec","MWF","1100-1150","MCM 200C","Cornette Jr, J","0","Closed",
"7120","ENGL 123","7","First-Year Writing Seminar","3","  LLF","Lec","MWF","1100-1150","MCM 200B","Davis, C","0","Closed",
"7121","ENGL 123","8","First-Year Writing Seminar","3","  LLF","Lec","MWF","1200-1250","MCM 200B","Davis, C","4","Open",
"7122","ENGL 123","9","First-Year Writing Seminar","3","  LLF","Lec","MW","1600-1715","MCM 200B","Garnett, R","0","Closed",
"7142","ENGL 200","1","Lit Foundation I:Ancient-17thC","3","","Lec","TR","1100-1215","MCM 210","Rowley, S","0","Closed",
"7143","ENGL 200","2","Lit Foundation I:Ancient-17thC","3","","Lec","TR","1330-1445","MCM 210","Rowley, S","0","Closed",
"7144","ENGL 202","1","Lit Foundation III: Mid 19thC-","3","","Lec","MWF","1400-1450","MCM 160","Pollard, S","0","Closed",
"8260","ENGL 202","2","Lit Foundation III: Mid 19thC-","3","","Lec","MWF","1200-1250","MCM 162","Mulligan, R","0","Closed",
"7145","ENGL 215","1","Popular Genres","3","  AICE","Lec","TR","1330-1445","MCM 212","Carney, J","0","Closed",
"8165","ENGL 221","1","Shakespearean Inspirations","3","  AICE","Lec","TR","1500-1615","MCM 260","Staff","3","Open",
"7146","ENGL 223","1","2nd Yr Writ Sem:Lit, Res, Writ","3","  LLF","Lec","MWF","1300-1350","MCM 207","Bunch, I","0","Closed",
"7156","ENGL 223","11","2nd Yr Writ Sem:Lit, Res, Writ","3","  LLF","Lec","TR","1630-1745","MCM 207","Staff","0","Closed",
"7157","ENGL 223","12","2nd Yr Writ Sem:Lit, Res, Writ","3","  LLF","Lec","TR","1800-1915","MCM 207","Garnett, R","4","Open",
"7158","ENGL 223","13","2nd Yr Writ Sem:Lit, Res, Writ","3","  LLF","Lec","MWF","1000-1050","MCM 207","Gordon, L","0","Closed",
"7159","ENGL 223","14","2nd Yr Writ Sem:Lit, Res, Writ","3","  LLF","Lec","MWF","1100-1150","MCM 207","Gordon, L","0","Closed",
"7160","ENGL 223","15","2nd Yr Writ Sem:Lit, Res, Writ","3","  LLF","Lec","MWF","1300-1350","MCM 257","Hoag, T","0","Closed",
"7162","ENGL 223","17","2nd Yr Writ Sem:Lit, Res, Writ","3","  LLF","Lec","TR","1630-1745","MCM 257","LaPointe, C","7","Open",
"7163","ENGL 223","18","2nd Yr Writ Sem:Lit, Res, Writ","3","  LLF","Lec","TR","1800-1915","MCM 257","Carney, J","10","Open",
